FID,community,transaction prices,total square footage,avg square footage,total amount,volume,latitude,longitude,INPUT_FID,DISTANCE to SP,Distance to ZGC
146,___4_,64805.63636,669.5,60.86363636,42769323.5,11,39.9105913,116.2957432,146,14838.67771,7975.910575
147,____9__,77007.875,426.9,53.3625,32550176.9,8,39.91014117,116.2946803,147,14881.27029,8039.386631
148,______,71282,223.4,74.46666667,14055125,3,39.91257132,116.2975285,148,14633.06043,7736.526437
149,______,85701.66667,140.3,46.76666667,11780089.9,3,39.9099821,116.2965387,149,14911.70963,8032.519477
150,____,78203.5082,3514.88,57.62098361,272574840,61,39.91060534,116.2927099,150,14817.7554,8017.34521
151,____,57969.33333,437.43,72.905,25220275.93,6,39.908582,116.314311,151,15256.22491,8085.462522
152,____,87741.76923,775.89,59.68384615,68080369.18,13,39.91588634,116.2893642,152,14215.31836,7502.634866
153,____,77834.1875,3476.06,54.3134375,264919566.4,64,39.91277104,116.2922135,153,14575.10723,7789.628816
154,___,74124.90909,1314.22,119.4745455,97340613.23,11,39.91014626,116.2933987,154,14872.64776,8057.048524
155,___,81262.64,1605.04,64.2016,129287793.5,25,39.91130353,116.3059463,155,14852.5239,7802.397132
156,____,83409.46154,688.14,52.93384615,56840356.16,13,39.91193911,116.3005704,156,14728.45228,7772.946562
157,____,77035.93878,2884.46,58.86653061,220160433.3,49,39.90466784,116.3038923,157,15561.10819,8549.279954
158,___,75178,42.3,42.3,3180029.4,1,39.93262,116.2354,158,12774.65688,8097.081313
159,___,55452,1187.56,169.6514286,69750713.84,7,39.908894,116.296769,159,15033.66866,8149.019984
160,___12__,73102.90909,590.26,53.66,42060279.84,11,39.90903382,116.2891774,160,14974.0868,8245.665264
161,___18__,85494,60.8,60.8,5198035.2,1,39.90654137,116.2882842,161,15246.79681,8530.893679
162,___24__,71586,341.31,56.885,24270166.68,6,39.90735967,116.2900441,162,15163.51987,8412.391151
163,___26__,79418.55556,501.8,55.75555556,38247222.1,9,39.90676298,116.2898595,163,15228.81953,8480.171878
164,___27__,80986,71,71,5750006,1,39.90259216,116.28986,164,15691.16269,8933.258555
165,____15__,78362.6,326.96,65.392,25410169.38,5,39.91210212,116.2902691,165,14638.98864,7894.678786
166,_____,65690.66667,907.12,151.1866667,54890633.32,6,39.91063093,116.2972163,166,14845.03615,7953.119092
167,____3__,76980.39286,1606.96,57.39142857,124215684.2,28,39.90129927,116.3175018,167,16096.64744,8900.098435
168,____,81793.5,726.3,60.525,58970394.6,12,39.910959,116.31915,168,15070.70732,7835.064611
169,_____7__,62092,61.2,61.2,3800030.4,1,39.90159738,116.311651,169,15984.98492,8861.134806
170,_____,57959,123.7,61.85,7190043.8,2,39.90105979,116.3175491,170,16123.45373,8926.810195
171,___,72238.75,1552,388,112340892,4,39.91056594,116.3134725,171,15027.8096,7864.682321
172,_____,72213.5,883.09,147.1816667,63940435.61,6,39.91398031,116.2963697,172,14468.53587,7596.828734
173,_____,80966.66667,1213.06,202.1766667,96000833.4,6,39.91463136,116.3015072,173,14440.38791,7467.374905
174,_____,78579.2,1401.12,93.408,107775556.6,15,39.91398031,116.2963697,174,14468.53587,7596.828734
175,____,55275.33333,475.15,158.3833333,26300271.68,3,39.91247385,116.3029734,175,14692.38874,7692.840203
176,_______,69908,131.9,65.95,9270043,2,39.90649496,116.2890224,176,15254.90796,8523.213135
177,__25__,66629,86.9,86.9,5790060.1,1,39.911736,116.301906,177,14763.22741,7783.120194
178,___25__,68248,411.03,68.505,28840182.06,6,39.91047227,116.295828,178,14852.43513,7987.835167
179,__3__,67738,114.9,57.45,7760047.2,2,39.908618,116.301482,179,15102.94536,8130.830806
180,____,80026,1832.72,59.12,143398778.5,31,39.91519474,116.2935887,180,14315.06437,7504.406076
181,____,77000.14286,1834.22,65.50785714,140299823.8,28,39.91384259,116.2949383,181,14473.55011,7631.560016
182,____,72021,211.6,70.53333333,15400094.24,3,39.91456053,116.2935457,182,14384.97592,7574.060513
183,_____,77866.21053,1076.84,56.67578947,82054496.92,19,39.907617,116.294854,183,15161.67685,8313.058885
184,______,33588.28333,4713.39,78.5565,165263309.8,60,40.045754,116.184117,184,7301.643751,12277.45265
185,______,52648,65.53,65.53,3450023.44,1,40.0981,116.215974,185,7736.018113,14979.40175
186,______,37440.16667,373.32,62.22,13920129.46,6,40.0981,116.215974,186,7736.018113,14979.40175
187,________,38155.25,290.23,72.5575,11030113.86,4,40.043586,116.234579,187,3393.848195,9198.787213
188,____,23084,56.1,56.1,1295012.4,1,40.082144,116.230638,188,5648.657569,12878.29134
